shortsymbols,vmsize,filesize
_$LT$rand..rngs..adapter..reseeding..ReseedingCore$LT$R$C$Rsdr$GT$$u20$as$u20$rand_core..block..BlockRngCore$GT$::generate::h4eed71b550161ef9,4528,4727
regex_syntax::hir::literal::Extractor::extract::h0d6d5769eddabc52,4516,4635
regex_automata::dfa::onepass::Builder::build_from_nfa::h0e1b7cec3f217d2e,4492,4619
regex_automata::hybrid::dfa::Lazy::cache_next_state::hac08b466b926689f,4448,4573
bd_workflows::workflow::Traversal::process_log::process_transition::hf59d1ac47cd66b3e,4424,4565
_$LT$rand_chacha..chacha..ChaCha12Core$u20$as$u20$rand_core..block..BlockRngCore$GT$::generate::h33f102f2a1773eac,4364,4534
_$LT$bd_logger..client_config..Config$LT$A$GT$$u20$as$u20$bd_client_common..ConfigurationUpdate$GT$::try_load_persisted_config::_$u7b$$u7b$closure$u7d$$u7d$::h8ed2a892b2557935,4176,4409
aho_corasick::automaton::try_find_fwd::h74fabfc6385d7430,4296,4409
_$LT$bd_proto..protos..client..api..ApiResponse$u20$as$u20$protobuf..message..Message$GT$::merge_from::h6d48e4447c45a425,4188,4366
bd_buffer::ring_buffer::RingBuffer::make_buffer::h6cd29859be855191,4212,4335
regex_automata::hybrid::dfa::Lazy::init_cache::h12a1cebaf86ebdc5,4216,4335
regex_automata::hybrid::search::find_rev::h4a08d633eef3f135,4196,4310
capture::ffi::jobject_list_to_fields::h37d165093c43659e,4188,4299
aho_corasick::util::prefilter::Builder::build::h89affda2cad020de,4172,4290
_$LT$bd_runtime..runtime..ConfigLoader$u20$as$u20$bd_client_common..ConfigurationUpdate$GT$::try_load_persisted_config::_$u7b$$u7b$closure$u7d$$u7d$::hc660c6293eeb7edd,4064,4289
bd_log_filter::FilterChain::process::h2a65af87d0cacc71,4152,4263
flatbuffers::verifier::TableVerifier::visit_field::h07469577fd9e7234,4088,4213
regex_automata::hybrid::search::find_overlapping_fwd::ha50ef52050af0734,4080,4207
capture::ffi::jobject_map_to_fields::h0d0b4dca6bbdedf2,4032,4142
bd_workflows::engine::WorkflowsEngine::update::h57935e26870d921e,4004,4124
core::iter::adapters::try_process::hee582a31f552098a,4012,4119
_$LT$bd_logger..internal_report..Reporter$u20$as$u20$bd_log_primitives..LogInterceptor$GT$::process::hf4d28ad8e21a028c,3912,4087
_$LT$bd_proto..protos..log_matcher..log_matcher..LogMatcher$u20$as$u20$core..clone..Clone$GT$::clone::ha032cf0c8792a578,3680,4032
_$LT$tracing..instrument..Instrumented$LT$T$GT$$u20$as$u20$core..future..future..Future$GT$::poll::he9591cce7fa8a39c,3836,4009
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_unicode_class::hc75a51b7eb5c7c95,3848,3986
bd_key_value::Store::get::h328bfa957f1cf83d,3816,3915
core::ops::function::FnOnce::call_once$u7b$$u7b$vtable.shim$u7d$$u7d$::h4b1970dbb2e00c45,3740,3882
_$LT$alloc..vec..Vec$LT$T$C$A$GT$$u20$as$u20$core..clone..Clone$GT$::clone::h8f584374ec31a27f,3656,3806
_$LT$alloc..vec..Vec$LT$T$C$A$GT$$u20$as$u20$core..clone..Clone$GT$::clone::hc91f1cdd17c6ef5f,3656,3806
bd_api::api::Api::handle_responses::_$u7b$$u7b$closure$u7d$$u7d$::h92ef466582863486,3636,3774
core::num::flt2dec::strategy::dragon::format_shortest::h33861093ea3626e8,3636,3761
aho_corasick::nfa::contiguous::Builder::build_from_noncontiguous::h96dd3e86937f92ad,3620,3759
bd_workflows::engine::WorkflowsEngine::on_log_upload_approved::h4523f1f84a22f7c5,3576,3713
bd_artifact_upload::uploader::Uploader::new::h2353feef97bd14c5,3496,3613
bd_logger::consumer::BufferUploadManager::handle_trigger_uploads::_$u7b$$u7b$closure$u7d$$u7d$::hd9164a6aaee242a8,3404,3573
aho_corasick::packed::teddy::generic::Teddy$LT$_$GT$::new::h488bbc8920b242a7,3420,3550
alloc::collections::btree::map::BTreeMap$LT$K$C$V$C$A$GT$::append::h057573e77f4e61b9,3392,3530
_$LT$bd_logger..network..HTTPTrafficDataUsageTracker$u20$as$u20$bd_log_primitives..LogInterceptor$GT$::process::h8cba6d171cac7f84,3264,3451
libunwind::CFI_Parser<>::parseFDEInstructions(),3228,3412
alloc::collections::btree::map::BTreeMap$LT$K$C$V$C$A$GT$::insert::h6b4f1173118f3356,3252,3390
bd_crash_handler::Monitor::write_config_file::_$u7b$$u7b$closure$u7d$$u7d$::hddda9b001d5ed029,3240,3390
bd_client_stats::stats::Flusher::upload_from_disk::_$u7b$$u7b$closure$u7d$$u7d$::h7aebea3959c189f2,3224,3378
capture::executor::check_exception::h0779c172b785a3e1,3252,3361
core::ptr::drop_in_place$LT$bd_proto..protos..client..api..ApiResponse$GT$::hd8245749681a3a53,3160,3309
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_with_comments::h52163bd6cd8c519d,3140,3278
_$LT$rustc_demangle..legacy..Demangle$u20$as$u20$core..fmt..Display$GT$::fmt::hfbde652feaf46312,3120,3272
_$LT$bd_proto..protos..config..v1..config..LogMatcher$u20$as$u20$core..clone..Clone$GT$::clone::h8b7d9269a997b4f2,2904,3244
_$LT$bd_proto..protos..client..matcher..Matcher$u20$as$u20$core..clone..Clone$GT$::clone::h42507492e5513cdb,2904,3232
_$LT$core..str..pattern..CharSearcher$u20$as$u20$core..str..pattern..Searcher$GT$::next_match::h11e1dd7df77e5526,2380,3230
_$LT$regex_automata..meta..strategy..ReverseInner$u20$as$u20$regex_automata..meta..strategy..Strategy$GT$::search_slots::hefeb36ef2779da3d,3004,3201
_$LT$core..iter..adapters..GenericShunt$LT$I$C$R$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$::next::h12f8e323383f1dc8,2948,3137
core::num::flt2dec::strategy::dragon::format_exact::hd366540b4dad240e,2988,3110
_$LT$alloc..boxed..Box$LT$T$C$A$GT$$u20$as$u20$core..clone..Clone$GT$::clone::hc81aebb3f282c991,2940,3092
_$LT$bd_buffer..buffer..volatile_ring_buffer..ProducerImpl$u20$as$u20$bd_buffer..buffer..RingBufferProducer$GT$::reserve::h20ca07beca465207,2884,3081
aho_corasick::automaton::try_find_fwd::h18edd6d6c18de840,2956,3069
_$LT$bd_client_stats..stats..SleepModeAwareRuntimeWatchTicker$LT$T$GT$$u20$as$u20$bd_client_stats..stats..Ticker$GT$::tick::_$u7b$$u7b$closure$u7d$$u7d$::h95e4ce5b9202abf3,2816,3045
regex_automata::dfa::onepass::DFA::try_search_slots_imp::hf5f9f388e58b8bfa,2908,3037
_$LT$base64..engine..general_purpose..GeneralPurpose$u20$as$u20$base64..engine..Engine$GT$::internal_decode::ha15a3a5a75e89beb,2820,3004
regex_syntax::hir::literal::Seq::optimize_by_preference::he04d9387e5e5f4e2,2868,2997
regex_syntax::hir::Hir::concat::h8d19d84b3c1a945a,2892,2996
_$LT$bd_buffer..buffer..non_volatile_ring_buffer..ProducerImpl$u20$as$u20$bd_buffer..buffer..RingBufferProducer$GT$::reserve::h16b781df53810169,2768,2969
_$LT$combine..parser..function..FnParser$LT$Input$C$F$GT$$u20$as$u20$combine..parser..Parser$LT$Input$GT$$GT$::parse_lazy::hbefb4e0e02fd08c1,2716,2915
core::ptr::drop_in_place$LT$bd_logger..builder..LoggerBuilder..build..$u7b$$u7b$closure$u7d$$u7d$$GT$::h77c048218dd37ead,2716,2892
std::sync::poison::once::Once::call_once::_$u7b$$u7b$closure$u7d$$u7d$::hb150c281568cbcaa,2740,2881
aho_corasick::automaton::try_find_overlapping_fwd::h7cbc83bfec2b0c31,2744,2869
core::ptr::drop_in_place$LT$bd_api..DataUpload$GT$::h6965c15cd4cc8443,2736,2861
__FRAME_END__,4,2836
regex_syntax::hir::literal::Extractor::cross::h355bdaded2dbd669,2700,2817
bd_key_value::Store::set_internal::he28ae24006b9e056,2696,2805
bd_buffer::ring_buffer::Manager::process_flushes::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::h426d255a7854b1a1,2620,2803
bd_artifact_upload::uploader::Uploader::upload_artifact::_$u7b$$u7b$closure$u7d$$u7d$::hc284cc01f578fa49,2636,2796
core::ptr::drop_in_place$LT$bd_workflows..engine..WorkflowsEngine$GT$::h06fee535f70e49c3,2652,2796
combine::parser::Parser::parse_mode::h5720620e823a8719,2680,2789
core::ptr::drop_in_place$LT$bd_workflows..engine..WorkflowsEngine$GT$::hd56abee73854838f,2644,2788
alloc::collections::btree::remove::_$LT$impl$u20$alloc..collections..btree..node..Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Leaf$GT$$C$alloc..collections..btree..node..marker..KV$GT$$GT$::remove_leaf_kv::h2954a63614fdc709,2400,2785
bd_buffer::ring_buffer::Manager::new::h9657aef6784c06e5,2660,2770
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_group::h134aed6baa886bfc,2632,2762
_$LT$tracing..instrument..Instrumented$LT$T$GT$$u20$as$u20$core..future..future..Future$GT$::poll::h0894f29b33768f71,2576,2749
bd_logger::builder::default_stats_flush_triggers::hb685d4ea3dec938f,2620,2743
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_counted_repetition::h3ac040ed2c3f6391,2600,2743
libunwind::DwarfInstructions<>::evaluateExpression(),2576,2741
_$LT$bd_logger..client_config..Config$LT$A$GT$$u20$as$u20$bd_client_common..ConfigurationUpdate$GT$::try_apply_config::_$u7b$$u7b$closure$u7d$$u7d$::h81a1ce6070b87f65,2508,2732
rustc_demangle::demangle::he0df8abfd98180b1,2620,2720
core::ptr::drop_in_place$LT$core..option..Option$LT$tokio..sync..mpsc..block..Read$LT$bd_api..DataUpload$GT$$GT$$GT$::hd7edff56d0c329e6,2508,2700
alloc::collections::btree::map::BTreeMap$LT$K$C$V$C$A$GT$::insert::h57f8e989698943a5,2556,2694
alloc::collections::btree::map::BTreeMap$LT$K$C$V$C$A$GT$::insert::h597b1e24f5b376ac,2556,2694
alloc::collections::btree::map::BTreeMap$LT$K$C$V$C$A$GT$::insert::h6c810fb5e4c35d2d,2556,2694
alloc::collections::btree::map::BTreeMap$LT$K$C$V$C$A$GT$::insert::hc8ad37f65484a351,2556,2694
bd_crash_handler::Monitor::read_json_paths::_$u7b$$u7b$closure$u7d$$u7d$::h2628f9d58bd04ca1,2540,2688
bd_session::Strategy::session_id::h5abc3b1e592bc7dd,2568,2676
alloc::collections::btree::remove::_$LT$impl$u20$alloc..collections..btree..node..Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Leaf$GT$$C$alloc..collections..btree..node..marker..KV$GT$$GT$::remove_leaf_kv::h43f3a10d6ed70fef,2288,2673
alloc::collections::btree::remove::_$LT$impl$u20$alloc..collections..btree..node..Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Leaf$GT$$C$alloc..collections..btree..node..marker..KV$GT$$GT$::remove_leaf_kv::h550b1c8b4fcab42b,2288,2673
bd_workflows::engine::WorkflowsEngine::add_workflows::h1d8e63d782e8cbf6,2544,2672
_$LT$core..iter..adapters..GenericShunt$LT$I$C$R$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$::next::hb0788fff7905a8b0,2480,2669
bd_workflows::config::Config::new::h9b9c195904f35230,2532,2639
alloc::fmt::format::h53c725ba08bbab54,1988,2632
_$LT$aho_corasick..dfa..DFA$u20$as$u20$core..fmt..Debug$GT$::fmt::ha5f57151c2436259,2484,2624
_$LT$regex_automata..meta..strategy..ReverseSuffix$u20$as$u20$regex_automata..meta..strategy..Strategy$GT$::search_slots::hdf840175440d6df4,2424,2622
alloc::collections::btree::map::BTreeMap$LT$K$C$V$C$A$GT$::insert::h7a980b5802bd9365,2476,2614
parking_lot::raw_rwlock::RawRwLock::wait_for_readers::h1e69598d17938ce7,2484,2612
bd_log_filter::RegexMatchAndSubstitute::produce_new_value::h02837a4f49113d0a,2444,2578
aho_corasick::automaton::try_find_fwd::h624430ae95aa8e53,2444,2557
_$LT$bd_runtime..runtime..ConfigLoader$u20$as$u20$bd_client_common..ConfigurationUpdate$GT$::try_apply_config::_$u7b$$u7b$closure$u7d$$u7d$::hb8aa52dbf490d070,2316,2532
regex_automata::hybrid::dfa::Lazy::cache_start_group::h5a178fc4fdece385,2404,2530
_$LT$bd_proto..protos..client..metric..Metric$u20$as$u20$protobuf..message..Message$GT$::merge_from::he597a1677f27d8fe,2336,2512
anyhow::__private::format_err::h90a9ac32fcc061ee,1364,2508
_$LT$core..iter..adapters..cloned..Cloned$LT$I$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$::fold::ha938aa97cccbec52,2320,2507
bd_logger::logger::LoggerHandle::log::hc7c06d72969b86de,2388,2498
core::ptr::drop_in_place$LT$bd_proto..protos..client..api..ConfigurationUpdate$GT$::h441ee89944b42c2d,2340,2497
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_escape::h05380eafcf6dd01b,2364,2495
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_capture_name::hdb6684550f616952,2352,2489
bd_log_matcher::matcher::Leaf::new::he30d58b0f2ce849e,2376,2484
bd_logger::consumer::BufferUploadManager::handle_buffer_event::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::h6e85b67ed31a46be,2284,2480
core::ops::function::FnOnce::call_once$u7b$$u7b$vtable.shim$u7d$$u7d$::hb7ce54d5773e6eb4,2324,2466
regex_syntax::ast::parse::NestLimiter$LT$P$GT$::check::h339400c4db36016f,2332,2459
time::parsing::parsable::_$LT$impl$u20$time..parsing..parsable..sealed..Sealed$u20$for$u20$time..format_description..well_known..rfc3339..Rfc3339$GT$::parse_offset_date_time::h5a2ec9f2185c67eb,2188,2436
core::char::methods::_$LT$impl$u20$char$GT$::escape_debug_ext::he816d75dd16b1183,2028,2433
bd_artifact_upload::uploader::Uploader::perform_intent_negotiation::_$u7b$$u7b$closure$u7d$$u7d$::h55e8567b79bd5020,2260,2431
_$LT$aho_corasick..nfa..contiguous..NFA$u20$as$u20$core..fmt..Debug$GT$::fmt::hff2368e085f8c512,2260,2412
serde::de::SeqAccess::next_element::h9a2ee0d4c704bb7f,2304,2412
bd_log_filter::Filter::new::h1daa1eedde1b56d5,2280,2381
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_decimal::h4a773712da22102d,2240,2372
_$LT$bd_logger..service..Uploader$u20$as$u20$tower_service..Service$LT$bd_logger..service..UploadRequest$GT$$GT$::call::_$u7b$$u7b$closure$u7d$$u7d$::had001272116a0d86,2144,2369
aho_corasick::automaton::try_find_overlapping_fwd::h6bdb81ce6f544fc7,2244,2369
memchr::memmem::FinderBuilder::build_forward_with_ranker::h0ae75b0d3f04884d,2216,2347
core::ops::function::FnOnce::call_once::h1319004a8ae93477,2236,2346
core::str::pattern::StrSearcher::new::h8e2f189d65e8a645,2236,2345
_$LT$bd_client_stats..stats..RuntimeWatchTicker$u20$as$u20$bd_client_stats..stats..Ticker$GT$::tick::_$u7b$$u7b$closure$u7d$$u7d$::h03b5035a192f3ceb,2132,2337
capture::ffi::map_to_jmap::hcc8170f051e3430f,2232,2332
_$LT$bd_proto..protos..client..matcher..Matcher$u20$as$u20$protobuf..message..Message$GT$::merge_from::h4773ef92f2a46b5c,2148,2326
alloc::collections::btree::remove::_$LT$impl$u20$alloc..collections..btree..node..Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Leaf$GT$$C$alloc..collections..btree..node..marker..KV$GT$$GT$::remove_leaf_kv::he5c211b7e38b215c,1936,2321
tokio::runtime::blocking::pool::BlockingPool::shutdown::ha5ca0413d47f731e,2176,2302
bd_crash_handler::Monitor::new::h9540a2b63a9839b4,2192,2297
regex_automata::nfa::thompson::compiler::Compiler::compile::hbd6f9dd642e3e34d,2164,2294
bd_runtime::runtime::ConfigLoader::update_snapshot_inner::hbac9f9caa65188aa,2160,2292
_$LT$aho_corasick..nfa..noncontiguous..NFA$u20$as$u20$core..fmt..Debug$GT$::fmt::hdd2032d766157c49,2128,2283
regex_automata::meta::limited::hybrid_try_search_half_rev::hfae5a2a67efcf5cf,2140,2272
flatbuffers::verifier::TableVerifier::visit_field::hce84eb9d1f445679,2140,2265
core::ptr::drop_in_place$LT$core..option..Option$LT$bd_proto..protos..client..api..api_request..Request_type$GT$$GT$::he27d14a37ffea3c7,2068,2260
[section .dynsym],2256,2256
bd_key_value::Store::get::h3d2d45ec324a0942,2144,2243
regex_automata::nfa::thompson::compiler::Compiler::c_at_least::h3e638b4478fa120d,2108,2242
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_hex_brace::h89c023d8c23ee7c1,2104,2238
regex_syntax::ast::parse::ParserI$LT$P$GT$::maybe_parse_special_word_boundary::h714e8c32df4e0a8d,2084,2236
_$LT$bd_proto..protos..workflow..workflow..workflow..Action$u20$as$u20$protobuf..message..Message$GT$::merge_from::he435191a246724f4,2032,2223
[section .rela.plt],2208,2208
bd_device::Device::id::hab3452d40c084e96,2112,2207
alloc::collections::btree::remove::_$LT$impl$u20$alloc..collections..btree..node..Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Leaf$GT$$C$alloc..collections..btree..node..marker..KV$GT$$GT$::remove_leaf_kv::h86f789c43928da65,1820,2205
bd_logger::logger::LoggerHandle::log_app_update::h5a7a904eb3125951,2080,2202
_$LT$core..str..iter..EscapeDebug$u20$as$u20$core..fmt..Display$GT$::fmt::h97e0304ba7c8a91f,2048,2196
bd_workflows::actions_flush_buffers::Resolver::standardize_streaming_buffers::h02ae3ab5d0afad7c,2044,2196
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_set_class_range::hda82e4c70375cb73,2052,2192
tokio::runtime::blocking::pool::Spawner::spawn_task::he0cb3c5bc0282e0f,2044,2167
jni::wrapper::jnienv::JNIEnv::call_method_unchecked::h39d116c9a22be7a8,2032,2156
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_set_class::h31d3dc8ca6f97f6a,2020,2154
_$LT$bd_client_common..error..MetadataErrorReporter$u20$as$u20$bd_client_common..error..Reporter$GT$::report::hacd90a4f9433f166,1968,2153
alloc::collections::btree::map::BTreeMap$LT$K$C$V$C$A$GT$::insert::h187ad57ab36be159,2012,2150
_$LT$bd_client_common..file_system..RealFileSystem$u20$as$u20$bd_client_common..file_system..FileSystem$GT$::list_files::_$u7b$$u7b$closure$u7d$$u7d$::h22229937a370940b,1896,2123
rustc_demangle::v0::Printer::print_path::h4106a0db3b1db264,1972,2086
_$LT$bd_proto..protos..workflow..workflow..Workflow$u20$as$u20$protobuf..message..Message$GT$::merge_from::h769e00f311e39c8c,1900,2082
bd_client_common::error::handle_unexpected_error_with_details::h94754ae211abaab4,1932,2069
std::sys::pal::unix::thread::cgroups::find_mountpoint::h9f9f250ca88220cb,1944,2068
bd_session_replay::Recorder::new::hec6048a353e1c842,1944,2051
_$LT$bd_proto..protos..config..v1..config..log_matcher..BaseLogMatcher$u20$as$u20$protobuf..message..Message$GT$::merge_from::h418b5b6bec8c12b1,1848,2050
libunwind::DwarfFDECache<>::_initialBuffer,2048,125
_$LT$bd_proto..protos..client..api..configuration_update..StateOfTheWorld$u20$as$u20$protobuf..message..Message$GT$::merge_from::h068e2a1d1a98005c,1840,2045
bd_client_stats::file_manager::Inner::get_initialized::_$u7b$$u7b$closure$u7d$$u7d$::hb28399a0fc023a7b,1876,2035
bd_client_stats::stats::Flusher::create_delta_snapshot::h305c7199e21ff1ae,1904,2033
flatbuffers::verifier::TableVerifier::visit_field::h2c0ee3df836ae9ca,1908,2033
_$LT$alloc..collections..btree..set..BTreeSet$LT$T$GT$$u20$as$u20$core..iter..traits..collect..FromIterator$LT$T$GT$$GT$::from_iter::hc338710308771301,1816,2024
regex_automata::meta::regex::Builder::build::h7992d441219533a2,1904,2020
Java_io_bitdrift_capture_CaptureJniLibrary_writeLog,1908,2011
JNI_OnLoad,1947,2009
tokio::runtime::driver::Driver::new::hb45b8fb4d4776336,1900,2007
alloc::collections::btree::map::BTreeMap$LT$K$C$V$C$A$GT$::insert::h44789548cb634780,1864,2002
bd_key_value::Store::get::hf1252cf7a478ae76,1876,1975
regex_syntax::error::Spans::notate::hb444c9a78df43b99,1860,1968
bd_api::api::StreamState::handle_upstream_event::h14f9273a18b7691c,1844,1966
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_flags::hc2cf9eb500fdc313,1836,1966
sketches_rust::store::Store::decode_and_merge_with::h9c1767720e94607b,1840,1965
regex_syntax::ast::parse::ParserI$LT$P$GT$::pop_group::h3cc2deef644cae1b,1832,1959
rustc_demangle::v0::Printer::print_const::h2201a12218edd823,1844,1959
_$LT$bd_proto..protos..log_matcher..log_matcher..log_matcher..base_log_matcher..TagMatch$u20$as$u20$protobuf..message..Message$GT$::merge_from::hc4a00cb292a1aeb2,1736,1956
_$LT$bd_proto..protos..insight..insight..insight..LogField$u20$as$u20$protobuf..message..Message$GT$::merge_from::h0b07f37290019a28,296,1949
parking_lot::raw_rwlock::RawRwLock::lock_shared_slow::ha4105e71addb1c6e,1820,1948
